Postcode,Description,Grid Reference,X (easting),Y (northing),Latitude,Longitude,School Name,LA Name,Centre Type,Address Line1,Address Line2,Address Line3,Post Code
G69 7NS,G69 7NS,NS 67247 63852,267247,663852,55.849542,-4.1220078,Bannerman High School,Glasgow City,Local Authority,119 Glasgow Road,,GLASGOW,G69 7NS
G23 5LY,G23 5LY,NS 56538 70271,256538,670271,55.904102,-4.2963128,John Paul Academy,Glasgow City,Local Authority,2 Arrochar Street,,GLASGOW,G23 5LY
G15 7SQ,G15 7SQ,NS 52155 71508,252155,671508,55.91388,-4.3670313,Drumchapel High School,Glasgow City,Local Authority,45 Cally Avenue,,GLASGOW,G15 7SQ
G13 1SP,G13 1SP,NS 54131 68225,254131,668225,55.885011,-4.3336748,Jordanhill School,Grant aided,Grant aided,45 Chamberlain Road,Jordanhill,GLASGOW,G13 1SP
KW14 7DS,KW14 7DS,ND 11108 67589,311108,967589,58.587164,-3.5307198,Thurso High School,Highland,Local Authority,Ormlie Road,Thurso,,KW14 7DS
KW1 5LT,KW1 5LT,ND 35886 50564,335886,950564,58.438658,-3.0998342,Wick High School,Highland,Local Authority,Newton Road,,WICK,KW1 5LT
IV25 3HR,IV25 3HR,NH 78793 89977,278793,889977,57.882731,-4.0456849,Dornoch Academy,Highland,Local Authority,Evelix Road,Dornoch,SUTHERLAND,IV25 3HR
KW10 6RF,KW10 6RF,NC 83379 00175,283379,900175,57.975496,-3.9734196,Golspie High School,Highland,Local Authority,Main Street,,GOLSPIE,KW10 6RF
KW14 7SS,KW14 7SS,NC 70702 62143,270702,962143,58.528141,-4.2221244,Farr High School,Highland,Local Authority,Bettyhill,By Thurso,,KW14 7SS
IV21 2BP,IV21 2BP,NG 80232 76943,180232,876943,57.728294,-5.6927454,Gairloch High School,Highland,Local Authority,Achtercairn,Gairloch,,IV21 2BP
IV15 9LT,IV15 9LT,NH 54745 59395,254745,859395,57.601111,-4.4323309,Dingwall Academy,Highland,Local Authority,Dingwall,,,IV15 9LT
IV10 8TW,IV10 8TW,NH 72737 56434,272737,856434,57.579967,-4.1299558,Fortrose Academy,Highland,Local Authority,Academy Street,Fortrose,ROSS-SHIRE,IV10 8TW
IV18 0LD,IV18 0LD,NH 70904 69074,270904,869074,57.692902,-4.167338,Invergordon Academy,Highland,Local Authority,Academy Road,Invergordon,,IV18 0LD
IV19 1PS,IV19 1PS,NH 77859 81698,277859,881698,57.808163,-4.0571809,Tain Royal Academy,Highland,Local Authority,Scotsburn Road,Tain,,IV19 1PS
IV26 2UN,IV26 2UN,NH 13126 94248,213126,894248,57.898386,-5.1548533,Ullapool High School,Highland,Local Authority,Mill Street,Ullapool,,IV26 2UN
IV17 0UY,IV17 0UY,NH 65884 69312,265884,869312,57.693568,-4.2516115,Alness Academy,Highland,Local Authority,Dalmore,,ALNESS,IV17 0UY
IV52 8TU,IV52 8TU,NG 79194 33092,179194,833092,57.334712,-5.6703692,Plockton High School,Highland,Local Authority,Plockton,Ross-shire,,IV52 8TU
IV51 9ET,IV51 9ET,NG 47658 43628,147658,843628,57.412749,-6.2036448,Portree High School,Highland,Local Authority,Viewfield Road,Portree,ISLE OF SKYE,IV51 9ET
PH36 4JA,PH36 4JA,NM 81496 62632,181496,762632,56.704116,-5.5710519,Ardnamurchan High School,Highland,Local Authority,Drimnatorran,Strontian,ACHARCLE,PH36 4JA
PH50 4QG,PH50 4QG,NN 18508 62021,218508,762021,56.714487,-4.9670112,Kinlochleven High School,Highland,Local Authority,Riverside Road,Kinlochleven,ARGYLL,PH50 4QG
PH41 4RG,PH41 4RG,NM 67479 96402,167479,796402,57.000049,-5.83032,Mallaig High School,Highland,Local Authority,Mallaig,,,PH41 4RG
PH33 7ND,PH33 7ND,NN 12357 75929,212357,775929,56.836819,-5.0775559,Lochaber High School,Highland,Local Authority,Camaghael,Fort William,,PH33 7ND
PH32 4DL,PH32 4DL,NH 37619 09053,237619,809053,57.143571,-4.6853333,Kilchuimen Academy,Highland,Local Authority,Station Road,Fort Augustus,INVERNESS-SHIRE,PH32 4DL
IV63 6XA,IV63 6XA,NH 50516 29147,250516,829147,57.328283,-4.484525,Glen Urquhart High School,Highland,Local Authority,Pitkerrald Road,Drumnadrochit,,IV63 6XA
IV3 5DZ,IV3 5DZ,NH 66004 45056,266004,845056,57.475895,-4.2361963,Inverness High School,Highland,Local Authority,Montague Row,Inverness,,IV3 5DZ
IV2 3QR,IV2 3QR,NH 67643 45478,267643,845478,57.480164,-4.2091161,Millburn Academy,Highland,Local Authority,Diriebught Road,Inverness,,IV2 3QR
IV2 6RE,IV2 6RE,NH 66485 42008,266485,842008,57.448678,-4.2265172,Inverness Royal Academy,Highland,Local Authority,Culduthel Road,Inverness,,IV2 6RE
IV3 8ET,IV3 8ET,NH 64806 44532,264806,844532,57.470836,-4.2558668,Charleston Academy,Highland,Local Authority,General Booth Road,Kinmylies,INVERNESS,IV3 8ET
IV2 7JZ,IV2 7JZ,NH 72394 46694,272394,846694,57.492441,-4.1305779,Culloden Academy,Highland,Local Authority,Keppoch Road,Culloden,INVERNESS,IV2 7JZ
PH21 1ES,PH21 1ES,NH 75781 00370,275781,800370,57.077533,-4.050842,Kingussie High School,Highland,Local Authority,Ruthven Road,Kingussie,,PH21 1ES
PH26 3HU,PH26 3HU,NJ 03845 28237,303845,828237,57.334483,-3.5988948,Grantown Grammar School,Highland,Local Authority,Cromdale Road,Grantown-on-Spey,,PH26 3HU
IV12 4RD,IV12 4RD,NH 87506 55694,287506,855694,57.577245,-3.8827838,Nairn Academy,Highland,Local Authority,Duncan Drive,Nairn,,IV12 4RD
IV27 4RG,IV27 4RG,NC 23049 56520,223049,956520,58.460957,-5.0349579,Kinlochbervie High School,Highland,Local Authority,Manse Road,Kinlochbervie,,IV27 4RG
PA16 0FB,PA16 0FB,NS 24550 75466,224550,675466,55.940125,-4.8107212,Inverclyde Academy,Inverclyde,Local Authority,Cumberland Road,Greenock,,PA16 0FB
PA19 1UX,PA19 1UX,NS 25202 76748,225202,676748,55.951867,-4.8011271,Clydeview Academy,Inverclyde,Local Authority,Burnside Road,Gourock,,PA19 1UX
PA16 9BJ,PA16 9BJ,NS 26722 75526,226722,675526,55.941451,-4.7760299,Notre Dame High School,Inverclyde,Local Authority,Dunlop Street,Greenock,,PA16 9BJ
PA19 1TN,PA19 1TN,NS 24022 76975,224022,676975,55.953474,-4.8201484,St Columba's High School,Inverclyde,Local Authority,Fletcher Avenue,Gourock,,PA19 1TN
PA14 6PP,PA14 6PP,NS 34238 72838,234238,672838,55.919978,-4.6541846,Port Glasgow High School,Inverclyde,Local Authority,Port Glasgow Comunity Campus,Kilmacolm Road,PORT GLASGOW,PA14 6PP
PA14 6PP,PA14 6PP,NS 34238 72838,234238,672838,55.919978,-4.6541846,St Stephen's High School,Inverclyde,Local Authority,Port Glasgow Community Campus,Kilmacolm Road,PORT GLASGOW,PA14 6PP
EH22 2PS,EH22 2PS,NT 34761 68109,334761,668109,55.901656,-3.0449531,Dalkeith High School,Midlothian,Local Authority,2 Cousland Road,Dalkeith,,EH22 2PS
EH22 4SX,EH22 4SX,NT 34483 65085,334483,665085,55.874452,-3.0486654,Newbattle High School,Midlothian,Local Authority,"Newbattle Community Campus, Newbattle Way",Easthouses,DALKEITH,EH22 4SX
EH22 2PS,EH22 2PS,NT 34761 68109,334761,668109,55.901656,-3.0449531,St David's RC High School,Midlothian,Local Authority,1 Cousland Road,Dalkeith,,EH22 2PS
EH19 2LA,EH19 2LA,NT 30170 65176,330170,665176,55.874663,-3.1176049,Lasswade High School Centre,Midlothian,Local Authority,Eskdale Drive,Bonnyrigg,,EH19 2LA
EH26 9EP,EH26 9EP,NT 23073 60330,323073,660330,55.83005,-3.2296263,Penicuik High School,Midlothian,Local Authority,39a Carlops Road,Penicuik,,EH26 9EP
EH26 0QF,EH26 0QF,NT 24214 61469,324214,661469,55.840463,-3.2117343,Beeslack Community High School,Midlothian,Local Authority,Edinburgh Road,Penicuik,,EH26 0QF
IV30 4ND,IV30 4ND,NJ 20866 63348,320866,863348,57.653059,-3.327649,Elgin Academy,Moray,Local Authority,Morriston Road,Elgin,MORAY,IV30 4ND
IV32 7DJ,IV32 7DJ,NJ 34361 58775,334361,858775,57.614161,-3.1003332,Milne's High School,Moray,Local Authority,West Street,Fochabers,MORAY,IV32 7DJ
IV36 1FG,IV36 1FG,NJ 03780 58210,303780,858210,57.603597,-3.6117823,Forres Academy,Moray,Local Authority,Burdsyard Road,Forres,MORAY,IV36 1FG
IV31 6JU,IV31 6JU,NJ 22883 70064,322883,870064,57.713718,-3.2960131,Lossiemouth High School,Moray,Local Authority,Coulardbank Road,Lossiemouth,MORAY,IV31 6JU
AB56 1QB,AB56 1QB,NJ 42173 65249,342173,865249,57.673375,-2.9711498,Buckie High School,Moray,Local Authority,West Cathcart Street,Buckie,MORAY,AB56 1QB
AB55 5GS,AB55 5GS,NJ 43488 50821,343488,850821,57.543963,-2.9457347,Keith Grammar School,Moray,Local Authority,School Road,Keith,MORAY,AB55 5GS
AB38 9QU,AB38 9QU,NJ 26939 43041,326939,843041,57.471722,-3.2198014,Speyside High School,Moray,Local Authority,Mary Avenue,Aberlour,MORAY,AB38 9QU
IV30 6UD,IV30 6UD,NJ 21120 61390,321120,861390,57.635521,-3.3227543,Elgin High School,Moray,Local Authority,Edgar Road,,ELGIN MORAY,IV30 6UD
HS1 2NF,HS1 2NF,NB 42607 32872,142607,932872,58.209219,-6.3835762,e-Sgoil nan Eilean Siar,Na h-Eileanan Siar,Local Authority,44 Francis Street,Stornoway,ISLE OF LEWIS,HS1 2NF
HS9 5XD,HS9 5XD,NL 66428 98300,66428,798300,56.955202,-7.4893732,Castlebay School,Na h-Eileanan Siar,Local Authority,Castlebay,Barra,,HS9 5XD
HS3 3BG,HS3 3BG,NB 14916 00416,114916,900416,57.901725,-6.8138344,Sir E Scott School,Na h-Eileanan Siar,Local Authority,Tarbert,Isle of Harris,WESTERN ISLES,HS3 3BG
HS1 2PZ,HS1 2PZ,NB 42727 32933,142727,932933,58.209835,-6.3816076,The Nicolson Institute,Na h-Eileanan Siar,Local Authority,Stornoway,Lewis,,HS1 2PZ
HS7 5PJ,HS7 5PJ,NF 78491 49936,78491,849936,57.425576,-7.3585547,Sgoil Lionacleit,Na h-Eileanan Siar,Local Authority,Liniclate,Benbecula,,HS7 5PJ
KA27 8NG,KA27 8NG,NS 02343 30755,202343,630755,55.530383,-5.1333756,Arran High School,North Ayrshire,Local Authority,Lamlash,,ISLE OF ARRAN,KA27 8NG
KA21 5NT,KA21 5NT,NS 24653 42098,224653,642098,55.640709,-4.7875881,St Matthew's Academy,North Ayrshire,Local Authority,Jack's Road,,SALTCOATS,KA21 5NT
KA22 8AR,KA22 8AR,NS 23873 42547,223873,642547,55.644457,-4.8002524,Ardrossan Academy,North Ayrshire,Local Authority,Sorbie Road,,ARDROSSAN,KA22 8AR
KA11 4HL,KA11 4HL,NS 34273 38103,234273,638103,55.608227,-4.6325195,Greenwood Academy,North Ayrshire,Local Authority,Dreghorn,,IRVINE,KA11 4HL
KA12 8SJ,KA12 8SJ,NS 31645 40418,231645,640418,55.628103,-4.6756049,Irvine Royal Academy,North Ayrshire,Local Authority,Kilwinning Road,,IRVINE,KA12 8SJ
KA14 3BF,KA14 3BF,NS 32424 52815,232424,652815,55.73964,-4.6708249,Garnock Community Campus,North Ayrshire,Local Authority,Beith Road,,GLENGARNOCK,KA14 3BF
KA30 9DR,KA30 9DR,NS 21200 60098,221200,660098,55.800983,-4.8541427,Largs Academy,North Ayrshire,Local Authority,Alexander Avenue,,LARGS,KA30 9DR
KA20 3JW,KA20 3JW,NS 25856 41784,225856,641784,55.638324,-4.7683003,Auchenharvie Academy,North Ayrshire,Local Authority,Saltcoats Road,,STEVENSTON,KA20 3JW
KA13 7HD,KA13 7HD,NS 29959 43522,229959,643522,55.655375,-4.7042712,Kilwinning Academy,North Ayrshire,Local Authority,Dalry Road,,KILWINNING,KA13 7HD
G67 2UF,G67 2UF,NS 76967 74491,276967,674491,55.947654,-3.9717011,Cumbernauld Academy,North Lanarkshire,Local Authority,South Kildrum Ring Road,Cumbernauld,,G67 2UF
G69 9DL,G69 9DL,NS 68546 69911,268546,669911,55.904301,-4.1042167,Chryston High School,North Lanarkshire,Local Authority,Lindsaybeg Road,Chryston,GLASGOW,G69 9DL
G67 4AQ,G67 4AQ,NS 74709 73322,274709,673322,55.936573,-4.0072905,Greenfaulds High School,North Lanarkshire,Local Authority,Athelstane Drive,Cumbernauld,,G67 4AQ
G67 1LA,G67 1LA,NS 75013 74082,275013,674082,55.943477,-4.0027795,Our Lady's High School - Cumbernauld,North Lanarkshire,Local Authority,Dowanfield Road,Cumbernauld,,G67 1LA
G65 9NF,G65 9NF,NS 71189 78268,271189,678268,55.980052,-4.0659649,Kilsyth Academy,North Lanarkshire,Local Authority,Balmalloch,Kilsyth,GLASGOW,G65 9NF
G68 9AG,G68 9AG,NS 73177 73974,273177,673974,55.942026,-4.0321048,St Maurice's High School,North Lanarkshire,Local Authority,Westfield,Cumbernauld,,G68 9AG
ML5 5EA,ML5 5EA,NS 72941 63581,272941,663581,55.848643,-4.0309974,St Andrew's High School,North Lanarkshire,Local Authority,9 Old Monkland Road,Coatbridge,,ML5 5EA
ML6 6NX,ML6 6NX,NS 76113 66478,276113,666478,55.875482,-3.9816922,Airdrie Academy,North Lanarkshire,Local Authority,South Commonhead Avenue,Airdrie,,ML6 6NX
ML6 8PG,ML6 8PG,NS 78588 65333,278588,665333,55.865831,-3.9416461,Caldervale High School,North Lanarkshire,Local Authority,Towers Road,Airdrie,,ML6 8PG
ML6 6EU,ML6 6EU,NS 76816 66098,276816,666098,55.87225,-3.9702906,St Margaret's High School,North Lanarkshire,Local Authority,Waverley Drive,Airdrie,,ML6 6EU
ML5 3NP,ML5 3NP,NS 73935 65084,273935,665084,55.8624,-4.015831,Coatbridge High School,North Lanarkshire,Local Authority,17 Park Street,Coatbridge,,ML5 3NP
ML5 2HT,ML5 2HT,NS 71864 65969,271864,665969,55.8698,-4.0493162,St Ambrose High School,North Lanarkshire,Local Authority,65 Townhead Road,Coatbridge,,ML5 2HT
ML4 1AR,ML4 1AR,NS 73655 60336,273655,660336,55.819693,-4.0180909,Bellshill Academy,North Lanarkshire,Local Authority,321 Main Street,Bellshill,,ML4 1AR
ML1 3XF,ML1 3XF,NS 74827 58249,274827,658249,55.801258,-3.9984372,Braidhurst High School,North Lanarkshire,Local Authority,Dalriada Crescent,Motherwell,,ML1 3XF
ML1 3AG,ML1 3AG,NS 74689 56627,274689,656627,55.786657,-3.9998904,Dalziel High School,North Lanarkshire,Local Authority,Crawford Street,Motherwell,,ML1 3AG
ML1 2DG,ML1 2DG,NS 76140 55515,276140,655515,55.777046,-3.9762613,Our Lady's High School - Motherwell,North Lanarkshire,Local Authority,Dalzell Drive,Motherwell,,ML1 2DG
ML7 4DH,ML7 4DH,NS 87447 60143,287447,660143,55.821373,-3.7980139,Calderhead High School,North Lanarkshire,Local Authority,Dyfrig Street,Shotts,,ML7 4DH
ML2 7EW,ML2 7EW,NS 79824 55743,279824,655743,55.780024,-3.9176656,St Aidan's High School,North Lanarkshire,Local Authority,Waverley Drive,Wishaw,,ML2 7EW
ML2 8NA,ML2 8NA,NS 80587 55888,280587,655888,55.781515,-3.9055714,Coltness High School,North Lanarkshire,Local Authority,Mossland Drive,Coltness,WISHAW,ML2 8NA
ML2 0LS,ML2 0LS,NS 79659 53237,279659,653237,55.757479,-3.9191883,Clyde Valley High School,North Lanarkshire,Local Authority,Castlehill Road,Wishaw,,ML2 0LS
ML4 3DW,ML4 3DW,NS 72549 60017,272549,660017,55.816538,-4.0355811,Cardinal Newman High School,North Lanarkshire,Local Authority,Main Street,Bellshill,,ML4 3DW
ML1 4JP,ML1 4JP,NS 76453 59224,276453,659224,55.810432,-3.9729582,Taylor High School,North Lanarkshire,Local Authority,Carfin Street,New Stevenston,MOTHERWELL,ML1 4JP
ML1 5AU,ML1 5AU,NS 77299 59251,277299,659251,55.81089,-3.95948,Brannock High School,North Lanarkshire,Local Authority,Loanhead Road,Newarthill,MOTHERWELL,ML1 5AU
KW15 1QN,KW15 1QN,HY 45680 10695,345680,1010695,58.979939,-2.9466575,Kirkwall Grammar School,Orkney Islands,Local Authority,Kirkwall,Orkney,,KW15 1QN
KW17 2DH,KW17 2DH,HY 43787 48723,343787,1048723,59.321141,-2.9893905,Westray Junior High School,Orkney Islands,Local Authority,Westray,Orkney,,KW17 2DH
KW17 2AY,KW17 2AY,HY 65913 40993,365913,1040993,59.254102,-2.5994579,Sanday Community School,Orkney Islands,Local Authority,Sanday,Orkney,,KW17 2AY
KW16 3JS,KW16 3JS,HY 25931 09896,325931,1009896,58.969798,-3.2898454,Stromness Academy,Orkney Islands,Local Authority,Stromness,Orkney,,KW16 3JS
KW17 2AE,KW17 2AE,HY 65171 26065,365171,1026065,59.119994,-2.6100731,Stronsay Junior High School,Orkney Islands,Local Authority,Stronsay,Orkney,,KW17 2AE
PH1 0AU,PH1 0AU,NO 08497 26545,308497,726545,56.422216,-3.484983,Bertha Park High School,Perth & Kinross,Local Authority,Adamson Avenue,,PERTH,PH1 0AU
PH15 2DU,PH15 2DU,NN 85381 48832,285381,748832,56.617285,-3.8693528,Breadalbane Academy,Perth & Kinross,Local Authority,Breadalbane Community Campus,Crieff Road,ABERFELDY,PH15 2DU
PH3 1BL,PH3 1BL,NN 94438 12900,294438,712900,56.296746,-3.7073036,The Community School of Auchterarder,Perth & Kinross,Local Authority,New School Lane,Auchterarder,PERTHSHIRE,PH3 1BL
PH10 6PW,PH10 6PW,NO 17641 44431,317641,744431,56.584545,-3.342461,Blairgowrie High School,Perth & Kinross,Local Authority,Beeches Road,Blairgowrie,,PH10 6PW
PH1 5BF,PH1 5BF,NO 11374 25138,311374,725138,56.410129,-3.4378831,St John's RC Academy,Perth & Kinross,Local Authority,North Inch Community Campus,Gowans Terrace,PERTH,PH1 5BF
PH7 3JN,PH7 3JN,NN 86671 21254,286671,721254,56.369968,-3.8363359,Crieff High School,Perth & Kinross,Local Authority,Strathearn Community Campus,Pittenzie Road,CRIEFF,PH7 3JN
KY13 8FQ,KY13 8FQ,NO 11719 03587,311719,703587,56.216635,-3.4250655,Kinross High School,Perth & Kinross,Local Authority,Loch Leven Community Campus,The Muirs,KINROSS,KY13 8FQ
PH1 1NJ,PH1 1NJ,NO 10026 23057,310026,723057,56.391184,-3.4590057,Perth Academy,Perth & Kinross,Local Authority,Murray Place,Perth,,PH1 1NJ
PH1 5AZ,PH1 5AZ,NO 11044 25070,311044,725070,56.409456,-3.4432061,Perth Grammar School,Perth & Kinross,Local Authority,Gowans Terrace,Perth,,PH1 5AZ
PH1 1HB,PH1 1HB,NO 09460 23209,309460,723209,56.392441,-3.468223,Perth High School,Perth & Kinross,Local Authority,Oakbank Road,Perth,,PH1 1HB
PH16 5ET,PH16 5ET,NN 94560 58563,294560,758563,56.706823,-3.7238442,Pitlochry High School,Perth & Kinross,Local Authority,East Moulin Road,Pitlochry,,PH16 5ET
PA5 8EX,PA5 8EX,NS 42794 64188,242794,664188,55.845206,-4.5123959,St Benedict's High School,Renfrewshire,Local Authority,Bridge of Weir Road,,LINWOOD,PA5 8EX
PA8 6EY,PA8 6EY,NS 46770 70409,246770,670409,55.90233,-4.4524787,Park Mains High School,Renfrewshire,Local Authority,Barrhill Road,,ERSKINE,PA8 6EY
PA5 0JN,PA5 0JN,NS 41853 61727,241853,661727,55.822808,-4.5259755,Johnstone High School,Renfrewshire,Local Authority,Beith Road,,JOHNSTONE,PA5 0JN
PA3 3NB,PA3 3NB,NS 42942 64641,242942,664641,55.849321,-4.5102969,Linwood High School,Renfrewshire,Local Authority,Stirling Drive,,LINWOOD,PA3 3NB
PA1 3RP,PA1 3RP,NS 49122 64094,249122,664094,55.846384,-4.4113784,Paisley Grammar School,Renfrewshire,Local Authority,Glasgow Road,,PAISLEY,PA1 3RP
PA2 0AG,PA2 0AG,NS 46090 61939,246090,661939,55.826081,-4.4585338,Gleniffer High School,Renfrewshire,Local Authority,Amochrie Road,,PAISLEY,PA2 0AG
PA1 2HL,PA1 2HL,NS 47727 63313,247727,663313,55.838935,-4.4331984,Castlehead High School,Renfrewshire,Local Authority,Camphill,off Canal Street,PAISLEY,PA1 2HL
PA2 7LG,PA2 7LG,NS 50257 62307,250257,662307,55.830696,-4.3922823,St Andrew's Academy,Renfrewshire,Local Authority,Barrhead Road,,PAISLEY,PA2 7LG
PA4 0AN,PA4 0AN,NS 50850 66844,250850,666844,55.871608,-4.385319,Renfrew High School,Renfrewshire,Local Authority,Haining Road,,RENFREW,PA4 0AN
PA4 8TP,PA4 8TP,NS 50765 67487,250765,667487,55.877354,-4.3870304,Trinity High School,Renfrewshire,Local Authority,Glebe Street,,RENFREW,PA4 8TP
PA6 7EB,PA6 7EB,NS 40421 66609,240421,666609,55.866158,-4.5516792,Gryffe High School,Renfrewshire,Local Authority,Old Bridge of Weir Road,,HOUSTON,PA6 7EB
EH45 9HB,EH45 9HB,NT 25131 39826,325131,639826,55.646185,-3.191156,Peebles High School,Scottish Borders,Local Authority,Springwood Road,Peebles,PEEBLESSHIRE,EH45 9HB
TD4 6HF,TD4 6HF,postcode not found,,,55.6405103,-2.662692217,Earlston High School,Scottish Borders,Local Authority,Earlston,Berwickshire,,TD4 6HF
TD1 3HU,TD1 3HU,NT 48898 35766,348898,635766,55.612794,-2.8128191,Galashiels Academy,Scottish Borders,Local Authority,Elm Row,Galashiels,SELKIRKSHIRE,TD1 3HU
TD7 4EW,TD7 4EW,NT 47484 28693,347484,628693,55.549096,-2.8339156,Selkirk High School,Scottish Borders,Local Authority,Hillside Terrace,Selkirk,,TD7 4EW
TD9 0EG,TD9 0EG,NT 49826 14470,349826,614470,55.421556,-2.7942244,Hawick High School,Scottish Borders,Local Authority,Buccleuch Road,Hawick,ROXBURGHSHIRE,TD9 0EG
TD8 6HH,TD8 6HH,NT 65424 20783,365424,620783,55.479631,-2.5486022,Jedburgh Grammar School,Scottish Borders,Local Authority,JEDBURGH GRAMMAR CAMPUS,PRIORS ROAD,JEDBURGH,TD8 6HH
TD5 7NL,TD5 7NL,NT 72567 35049,372567,635049,55.608266,-2.4370131,Kelso High School,Scottish Borders,Local Authority,Angraflat Road,Kelso,ROXBURGHSHIRE,TD5 7NL
TD11 3QG,TD11 3QG,NT 77968 53592,377968,653592,55.77515,-2.3527815,Berwickshire High School,Scottish Borders,Local Authority,Duns,Berwickshire,,TD11 3QG
TD14 5LZ,TD14 5LZ,NT 94619 63259,394619,663259,55.862483,-2.0875434,Eyemouth High School,Scottish Borders,Local Authority,Gunsgreenhill,Eyemouth,BERWICKSHIRE,TD14 5LZ
ZE2 9NB,ZE2 9NB,HU 34329 55640,434329,1155640,60.283494,-1.3810459,Aith Junior High School,Shetland Islands,Local Authority,Aith,Shetland,,ZE2 9NB
ZE2 9DY,ZE2 9DY,HP 61081 08926,461081,1208926,60.758688,-0.8809983,Baltasound Junior High School,Shetland Islands,Local Authority,Baltasound,Unst,SHETLAND,ZE2 9DY
ZE2 9QG,ZE2 9QG,HU 35408 68046,435408,1168046,60.394783,-1.3593571,Brae High School,Shetland Islands,Local Authority,Brae,Shetland,,ZE2 9QG
ZE1 0GR,ZE1 0GR,HU 46463 41395,446463,1141395,60.154403,-1.1649092,Anderson High School,Shetland Islands,Local Authority,North Loch Drive,Lerwick,SHETLAND,ZE1 0GR
ZE2 9BN,ZE2 9BN,HU 51118 91244,451118,1191244,60.601359,-1.068388,Mid Yell Junior High School,Shetland Islands,Local Authority,Mid Yell,Shetland,,ZE2 9BN
ZE2 9HH,ZE2 9HH,HU 42132 24124,442132,1124124,59.999811,-1.2464559,Sandwick Junior High School,Shetland Islands,Local Authority,Sandwick,Shetland,,ZE2 9HH
ZE2 9AQ,ZE2 9AQ,HU 54771 62355,454771,1162355,60.341541,-1.0096249,Whalsay School,Shetland Islands,Local Authority,Symbister,Whalsay,SHETLAND,ZE2 9AQ
KA8 0SZ,KA8 0SZ,NS 35075 21504,235075,621504,55.459507,-4.6099097,Ayr Academy,South Ayrshire,Local Authority,University Avenue,Ayr,,KA8 0SZ
KA7 2PG,KA7 2PG,postcode not found,,,55.44490068,-4.619003663,Belmont Academy,South Ayrshire,Local Authority,Nursery Road,Ayr,,KA7 2PG
KA7 3TL,KA7 3TL,NS 35472 19446,235472,619446,55.441168,-4.6024211,Queen Margaret Academy,South Ayrshire,Local Authority,33A Dalmellington Road,Ayr,,KA7 3TL
KA26 9DW,KA26 9DW,NX 19186 97621,219186,597621,55.239556,-4.8454436,Girvan Academy,South Ayrshire,Local Authority,62 The Avenue,Girvan,,KA26 9DW
KA19 8BP,KA19 8BP,NS 29286 09632,229286,609632,55.350963,-4.6940888,Carrick Academy,South Ayrshire,Local Authority,72/74 Kirkoswald Road,Maybole,,KA19 8BP
KA9 2LB,KA9 2LB,NS 35726 26323,235726,626323,55.502982,-4.6024771,Prestwick Academy,South Ayrshire,Local Authority,15 Newdykes Road,Prestwick,,KA9 2LB
KA10 7AB,KA10 7AB,NS 33214 31543,233214,631543,55.548985,-4.6453465,Marr College,South Ayrshire,Local Authority,Dundonald Road,Troon,,KA10 7AB
KA7 3LR,KA7 3LR,NS 35733 21252,235733,621252,55.457466,-4.5993663,Kyle Academy,South Ayrshire,Local Authority,7 Overmills Road,Ayr,,KA7 3LR
G73 3LW,G73 3LW,NS 63131 60878,263131,660878,55.821689,-4.1861994,Trinity High School,South Lanarkshire,Local Authority,Glenside Drive,Rutherglen,,G73 3LW
G72 8ES,G72 8ES,NS 63409 59874,263409,659874,55.812754,-4.1812611,Cathkin High School,South Lanarkshire,Local Authority,Langlea Road,Cambuslang,,G72 8ES
G73 3BP,G73 3BP,NS 61692 61311,261692,661311,55.825167,-4.2093692,Stonelaw High School,South Lanarkshire,Local Authority,140 Calderwood Road,Rutherglen,,G73 3BP
G74 1NL,G74 1NL,NS 64153 54203,264153,654203,55.762046,-4.1665688,St Andrew's and St Bride's High School,South Lanarkshire,Local Authority,Platthorn Drive,East Kilbride,,G74 1NL
ML3 6PE,ML3 6PE,NS 71828 55260,271828,655260,55.773632,-4.044839,Hamilton Grammar School,South Lanarkshire,Local Authority,Auchincampbell Road,Hamilton,,ML3 6PE
ML3 0BN,ML3 0BN,NS 71344 56316,271344,656316,55.782986,-4.0530479,Holy Cross High School,South Lanarkshire,Local Authority,51 New Park Street,Hamilton,,ML3 0BN
ML3 9LA,ML3 9LA,NS 69824 55941,269824,655941,55.779212,-4.077088,St John Ogilvie High School,South Lanarkshire,Local Authority,Farm Road,Burnbank,HAMILTON,ML3 9LA
ML9 1QN,ML9 1QN,NS 76162 50707,276162,650707,55.733877,-3.9737283,Larkhall Academy,South Lanarkshire,Local Authority,Broomhill Road,Larkhall,,ML9 1QN
G71 7BT,G71 7BT,NS 69396 60844,269396,660844,55.82312,-4.0862608,Uddingston Grammar School,South Lanarkshire,Local Authority,Old Glasgow Road,Uddingston,,G71 7BT
G74 2LP,G74 2LP,NS 65152 53854,265152,653854,55.759192,-4.1504878,Calderglen High School,South Lanarkshire,Local Authority,High Common Road,St Leonard's,EAST KILBRIDE,G74 2LP
G72 0AX,G72 0AX,NS 68910 57440,268910,657440,55.792424,-4.0923715,Calderside Academy,South Lanarkshire,Local Authority,Calder Street,Blanytre,,G72 0AX
G75 8ZT,G75 8ZT,NS 61697 53959,261697,653959,55.75916,-4.2055542,Duncanrig Secondary School,South Lanarkshire,Local Authority,Winnipeg Drive,East Kilbride,,G75 8ZT
